"iccid","msisdn","startTime(UTC)","endTime(UTC)","bytes","mcc","mnc","promotionName"
"'8944200007278016492","'447414311650","2018-05-01 09:05:51","2018-05-01 09:05:51","1024","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944200007278022441","'447414312245","2018-05-01 09:05:51","2018-05-01 09:05:51","39936","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'89011703278160619576","'882350816061957","2018-05-01 09:05:51","2018-05-01 09:06:02","2098176","'310","'410","UKAT 300MB@6.75 OU 0.10 USD Biz Z1"
"'8944502010148265674","'447509154567","2018-05-01 09:05:51","2018-05-01 09:10:48","3072","'310","'410","UKJ 8MB@1.00 OU 0.15 USD SK Temporary"
"'8944200007278015742","'447414311575","2018-05-01 09:05:51","2018-05-01 09:05:51","3243008","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944501201168654670","'447937725310","2018-05-01 09:05:51","2018-05-01 09:35:43","3072","'310","'260","UKJ 5MB@2.37 OU 0.80 USD AnyTr Z2B"
"'8944502511169523289","'882360001633828","2018-05-01 09:05:52","2018-05-01 09:05:56","1024","'214","'01","UKJ 5MB@1.20 OU 0.30 EUR YUGO"
"'8944502511169574993","'882360001638999","2018-05-01 09:05:52","2018-05-01 09:06:56","1024","'310","'260","UKJ 10MB@2.85 OU 0.45 USD TN"
"'8944502010148258752","'447509153875","2018-05-01 09:05:52","2018-05-01 09:07:38","1024","'310","'410","UKJ 8MB@1.00 OU 0.15 USD SK Temporary"
"'8944501702168848642","'882360001287707","2018-05-01 09:05:52","2018-05-01 09:10:12","3072","'310","'410","UKJ 8MB@1.00 OU 0.15 USD SK Temporary"
"'8944502010148262606","'447509154260","2018-05-01 09:05:52","2018-05-01 09:10:45","3072","'310","'410","UKJ 8MB@1.00 OU 0.15 USD SK Temporary"
"'8944502010148202115","'447509148211","2018-05-01 09:05:52","2018-05-01 09:07:39","1024","'234","'15","UKJ 2MB@1.00 OU 0.50 GBP"
"'8944502511169473758","'882360001628875","2018-05-01 09:05:52","2018-05-01 09:11:14","7168","'310","'410","UKJ 5MB@2.38 OU 0.80 USD"
"'8944503005178095842","'882360002171764","2018-05-01 09:05:52","2018-05-01 09:06:28","1024","'410","'01","UKJ 10MB@1.90 OU 0.20 USD AMNZPS"
"'8944502712138188101","'447937838810","2018-05-01 09:05:52","2018-05-01 09:15:57","1024","'310","'260","UKJ 0.5MB@1.06 PM 15M@15.99 USD"
"'8944503005179729514","'882360002185131","2018-05-01 09:05:52","2018-05-01 09:35:52","1024","'302","'220","UKJ BES5 LR@14 USD PER MB"
"'8944503005178138253","'882360002176005","2018-05-01 09:05:52","2018-05-01 09:35:52","1024","'604","'01","UKJ BES5 LR@14 USD PER MB"
"'8944502010148269098","'447509154909","2018-05-01 09:05:53","2018-05-01 09:11:02","1024","'310","'260","UKJ Gosafe 5MB@3.33 OU 1.00 USD"
"'8944502010148260881","'447509154088","2018-05-01 09:05:53","2018-05-01 09:20:50","9216","'310","'410","UKJ 8MB@1.00 OU 0.15 USD SK Temporary"
"'8944501702168892855","'882360001292128","2018-05-01 09:05:53","2018-05-01 09:35:53","1024","'206","'01","UKJ BES5 LR@14 USD PER MB"
"'8944502511169579471","'882360001639447","2018-05-01 09:05:53","2018-05-01 09:08:01","1024","'310","'410","UKJ 1MB@0.90 OU 0.45 USD SS"
"'8944503005179823663","'882360002499076","2018-05-01 09:05:53","2018-05-01 09:10:54","2048","'234","'15","UKJ 5MB@1.30 OU 0.50 GBP REM"
"'8944502511169531522","'882360001634652","2018-05-01 09:05:53","2018-05-01 09:10:43","3072","'310","'260","UKJ 8MB@1.00 OU 0.15 USD SK Temporary"
"'8944502010148202149","'447509148214","2018-05-01 09:05:53","2018-05-01 09:06:17","1024","'234","'30","UKJ 2MB@1.00 OU 0.50 GBP"
"'8944502511169353042","'882360001616804","2018-05-01 09:05:53","2018-05-01 09:08:59","1024","'334","'020","UKJ 5MB@3.41 OU 0.65 USD SC Z2A"
"'8944501410158446894","'447937584532","2018-05-01 09:05:53","2018-05-01 09:15:58","1024","'234","'15","UKJ 3MB@1.17 OU 0.30 GBP Fowlers Finance"
"'8944501410158462065","'447937586049","2018-05-01 09:05:53","2018-05-01 09:17:04","1024","'204","'04","UKJ 2MB@1.07 OU 0.80 EUR 24MTH KOEK"
"'8944502511169334521","'11835806313","2018-05-01 09:05:54","2018-05-01 09:06:16","1024","'645","'01","UKA 2MB@3.23 OU 1.40 USD FPSL Z5"
"'8944502511169241247","'882360001605624","2018-05-01 09:05:54","2018-05-01 09:06:30","1024","'310","'260","UKJ 3MB@1.00 OU 0.25 USD AMS US"
"'8944500606138092077","'447937874207","2018-05-01 09:05:54","2018-05-01 09:07:30","1024","'234","'10","UKJ 5MB@1.22 OU 0.20 FCA GBP"
"'8944501702168701452","'882360001274988","2018-05-01 09:05:54","2018-05-01 09:07:43","1024","'310","'260","UKJ 4MB@1.62 OU 0.60 USD TAGM zone 1B"
"'8944500510178263418","'882360002717096","2018-05-01 09:05:54","2018-05-01 09:08:57","6144","'234","'30","UKJ 8MB@1.10 OU 0.10 GBP REM Trading EE"
"'8944502010148267738","'447509154773","2018-05-01 09:05:54","2018-05-01 09:08:49","2048","'310","'410","UKJ 8MB@1.00 OU 0.15 USD SK Temporary"
"'8944502511169465283","'882360001628028","2018-05-01 09:05:54","2018-05-01 09:05:56","1024","'214","'01","UKJ 5MB@1.20 OU 0.30 EUR YUGO"
"'89011703278161154359","'882350816115435","2018-05-01 09:05:54","2018-05-01 09:06:17","3072","'302","'610","UKAT 100MB@5.50 OU 0.20 USD TFS Z1"
"'8944501702168760979","'882360001278940","2018-05-01 09:05:54","2018-05-01 09:06:02","3072","'234","'10","UKJ 100MB@4.47 OU 0.10 GBP CYP"
"'8944501702168759328","'882360001278775","2018-05-01 09:05:54","2018-05-01 09:15:46","4096","'234","'30","UKJ 10MB@2.10 OU 0.50 GBP RT"
"'8944503005179958386","'882360002512548","2018-05-01 09:05:54","2018-05-01 09:20:37","1024","'234","'30","UKJ 0.5MB@0.81 OU 0.25 USD GS Zone 1b"
"'8944501610158503558","'447509010198","2018-05-01 09:05:54","2018-05-01 09:35:54","1024","'302","'720","UKJ BES5 LR@14 USD PER MB"
"'8944501702168869010","'882360001289744","2018-05-01 09:05:54","2018-05-01 09:19:21","1024","'310","'260","UKJ 1MB@0.90 OU 0.80 USD AnyTr Z2B"
"'8944200103299022674","'447449405237","2018-05-01 09:05:55","2018-05-01 09:05:55","1181696","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944200007278049089","'447414314909","2018-05-01 09:05:55","2018-05-01 09:05:55","1892352","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944500606138132253","'447937878225","2018-05-01 09:05:55","2018-05-01 09:06:20","1024","'310","'410","UKJ 15MB@3.91 OU .65 USD"
"'8944502010148263620","'447509154362","2018-05-01 09:05:55","2018-05-01 09:10:21","3072","'310","'410","UKJ 8MB@1.00 OU 0.15 USD SK Temporary"
"'8944503005178141042","'882360002176284","2018-05-01 09:05:55","2018-05-01 09:35:55","5120","'302","'220","UKJ BES5 LR@14 USD PER MB"
"'8944501101188526124","'882360003071392","2018-05-01 09:05:55","2018-05-01 09:06:23","1024","'310","'260","UKJ 2MB@1.21 OU 0.65 USD"
"'8944200103299008723","'447449370524","2018-05-01 09:05:55","2018-05-01 09:05:55","316416","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944502511169520608","'882360001633560","2018-05-01 09:05:55","2018-05-01 09:05:57","1024","'214","'01","UKJ 5MB@1.20 OU 0.30 EUR YUGO"
"'8944502010148202289","'447509148228","2018-05-01 09:05:55","2018-05-01 09:07:41","1024","'234","'15","UKJ 2MB@1.00 OU 0.50 GBP"
"'8944502810151737976","'882360001099257","2018-05-01 09:05:55","2018-05-01 09:35:55","1024","'302","'220","UKJ BES5 LR@14 USD PER MB"
"'8944503005178110948","'882360002173274","2018-05-01 09:05:55","2018-05-01 09:25:41","1024","'220","'01","UKJ 5MB@0.80 OU 0.10 EUR Almaks"
"'8944502511169520426","'882360001633542","2018-05-01 09:05:56","2018-05-01 09:05:58","1024","'214","'03","UKJ 5MB@1.20 OU 0.30 EUR YUGO"
"'8944500606138132394","'447937878239","2018-05-01 09:05:56","2018-05-01 09:06:06","1024","'310","'260","UKJ 15MB@3.91 OU .65 USD"
"'8944503005179823283","'882360002499038","2018-05-01 09:05:56","2018-05-01 09:06:23","1024","'234","'15","UKJ 3MB@1.17 OU 0.30 GBP Fowlers Finance"
"'8944502511169585635","'882360001640063","2018-05-01 09:05:56","2018-05-01 09:14:20","7168","'310","'410","UKJ 3MB@0.99 OU 0.80 USD ATrck"
"'8944502010148259115","'447509153911","2018-05-01 09:05:56","2018-05-01 09:10:49","3072","'310","'410","UKJ 8MB@1.00 OU 0.15 USD SK Temporary"
"'8944501410158445839","'447937584426","2018-05-01 09:05:56","2018-05-01 09:11:15","1024","'234","'10","UKJ 5MB@1.30 OU 0.50 GBP REM"
"'8944501702168882344","'882360001291077","2018-05-01 09:05:56","2018-05-01 09:06:25","1024","'334","'03","UKJ 5MB@36.00 OU 14.00 MXN"
"'8944500510178244020","'882360002715157","2018-05-01 09:05:56","2018-05-01 09:06:26","1024","'234","'30","UKJ 100MB@3.25 OU 0.30 GBP PCM"
"'8944503005178172963","'882360002179476","2018-05-01 09:05:56","2018-05-01 09:14:40","773120","'238","'20","perMB LR @2.00 USD"
"'8944502010148312708","'447509159270","2018-05-01 09:05:56","2018-05-01 09:16:02","1024","'234","'33","UKJ 3MB@1.17 OU 0.30 GBP Fowlers Finance"
"'8944503005179822665","'882360002498976","2018-05-01 09:05:56","2018-05-01 09:14:26","6144","'234","'58","UKJ 5MB@1.30 OU 0.50 GBP REM"
"'8944503005178114023","'882360002173582","2018-05-01 09:05:56","2018-05-01 09:56:03","8192","'234","'20","UKJ Worldwide 10MB@3.92 OU 0.30 GBP IoTSIM"
"'8944200103299008475","'447449354109","2018-05-01 09:05:57","2018-05-01 09:05:57","179200","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944200007314030697","'447414408070","2018-05-01 09:05:57","2018-05-01 09:05:57","116736","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944502511169520459","'882360001633545","2018-05-01 09:05:57","2018-05-01 09:06:02","1024","'214","'01","UKJ 5MB@1.20 OU 0.30 EUR YUGO"
"'8944502511169520590","'882360001633559","2018-05-01 09:05:57","2018-05-01 09:06:03","1024","'214","'01","UKJ 5MB@1.20 OU 0.30 EUR YUGO"
"'8944501410158442695","'447937584112","2018-05-01 09:05:57","2018-05-01 09:16:02","1024","'234","'30","UKJ 3MB@1.17 OU 0.30 GBP Fowlers Finance"
"'8944500410169088876","'882360001437387","2018-05-01 09:05:57","2018-05-01 09:25:48","3072","'234","'15","UKJ 15MB@3.91 OU .65 USD"
"'8944501201168629102","'447937722753","2018-05-01 09:05:57","2018-05-01 09:35:57","3072","'310","'410","UKJ 5MB@2.37 OU 0.80 USD AnyTr Z2B"
"'8944503005179804473","'882360002497157","2018-05-01 09:05:57","2018-05-01 09:37:16","4096","'284","'05","UKJ 5MB@0.80 OU 0.10 EUR Almaks"
"'8944502010148200341","'447509148034","2018-05-01 09:05:57","2018-05-01 09:07:38","1024","'234","'30","UKJ 1MB@0.79 OU 1.00 GBP"
"'8944503005179876182","'882360002504328","2018-05-01 09:05:57","2018-05-01 09:05:59","1024","'214","'01","UKJ 5MB@1.20 OU 0.30 EUR YUGO"
"'8944501702168817233","'882360001284566","2018-05-01 09:05:57","2018-05-01 09:23:25","11264","'334","'020","UKJ 6MB@3.50 OU 0.65 USD CTTMX"
"'8944502010148268819","'447509154881","2018-05-01 09:05:57","2018-05-01 09:45:20","5120","'310","'410","UKJ 6MB@2.25 OU 0.65 USD GEO"
"'8944502511169478997","'882360001629399","2018-05-01 09:05:57","2018-05-01 09:35:50","3072","'310","'260","UKJ 5MB@2.37 OU 0.80 USD AnyTr Z2B"
"'8901260881215083675","'17734325928","2018-05-01 09:05:58","2018-05-01 09:06:00","1024","'310","'260","UKTM 10MB@1.75 No OU USD Ablegrid"
"'8944500510178222638","'882360002713018","2018-05-01 09:05:58","2018-05-01 09:06:06","2048","'706","'04","UKJ 5MB@2.10 OU 0.45 USD GPSTech Z2A"
"'8944500606138142559","'447937879255","2018-05-01 09:05:58","2018-05-01 09:06:07","1024","'310","'260","UKJ 15MB@3.91 OU .65 USD"
"'8944500510178315614","'882360002722316","2018-05-01 09:05:58","2018-05-01 09:06:13","1024","'310","'410","UKJ 10MB@1.69 OU 0.10 USD Cartrack"
"'8944500410169070106","'882360001435510","2018-05-01 09:05:58","2018-05-01 09:06:21","1024","'234","'15","UKJ 2MB@1.00 OU 0.50 GBP"
"'8944502712138194125","'447937839412","2018-05-01 09:05:58","2018-05-01 09:06:21","1024","'310","'260","UKJ 10MB@2.45 OU 0.40 USD FGPS Z1"
"'8944200007315035950","'447414413596","2018-05-01 09:05:58","2018-05-01 09:05:58","586752","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944500410169147250","'882360001443225","2018-05-01 09:05:58","2018-05-01 09:08:20","1024","'260","'02","UKJ 2MB@1.21 OU 0.35 USD KC"
"'8944500410169096424","'882360001438142","2018-05-01 09:05:58","2018-05-01 09:07:02","1024","'334","'020","UKJ 10MB@3.99 OU 0.40 USD SAK Z2"
"'8944501702168763825","'882360001279225","2018-05-01 09:05:58","2018-05-01 09:06:03","1024","'206","'01","UKJ 40MB@5.90 OU 0.20 GBP"
"'8944501702168692677","'882360001274110","2018-05-01 09:05:58","2018-05-01 09:06:43","1024","'310","'260","UKJ 1MB@0.85 OU 0.45 USD MVP"
"'8944503005178135051","'882360002175685","2018-05-01 09:05:58","2018-05-01 09:35:58","1024","'208","'01","UKJ BES5 LR@14 USD PER MB"
"'8944503005178110799","'882360002173259","2018-05-01 09:05:58","2018-05-01 09:25:39","2048","'220","'01","UKJ 5MB@0.80 OU 0.10 EUR Almaks"
"'8944503005178139061","'882360002176086","2018-05-01 09:05:58","2018-05-01 09:35:58","183296","'208","'01","UKJ BES5 LR@14 USD PER MB"
"'8901260881205876468","'17876695162","2018-05-01 09:05:59","2018-05-01 09:06:00","1024","'310","'260","UKTM 5MB@1.30 OU 0.65 USD ITech UKTM"
"'8944501702168754709","'447937805354","2018-05-01 09:05:59","2018-05-01 09:10:34","1024","'214","'03","UKJ 5MB@2.34 OU 1.20 EUR"
"'8944502010148280517","'447509156051","2018-05-01 09:05:59","2018-05-01 09:35:55","3072","'310","'410","UKJ 5MB@2.37 OU 0.80 USD AnyTr Z2B"
"'8944200103299001793","'447453011755","2018-05-01 09:05:59","2018-05-01 09:05:59","161792","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944503005179751773","'11836158373","2018-05-01 09:05:59","2018-05-01 09:08:03","1024","'716","'17","UKA 2MB@2.89 OU 0.80 USD Satelicar"
"'8944501702168850366","'882360001287879","2018-05-01 09:05:59","2018-05-01 09:15:35","6144","'310","'410","UKJ 8MB@1.00 OU 0.15 USD SK Temporary"
"'8944200007315036719","'447414413672","2018-05-01 09:06:00","2018-05-01 09:06:00","50176","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944500510178378166","'882360002728571","2018-05-01 09:06:00","2018-05-01 09:09:15","1024","'334","'03","UKJ 10MB@3.99 OU 0.40 USD SAK Z2"
"'8944501410158460812","'447937585924","2018-05-01 09:06:00","2018-05-01 09:06:14","1024","'204","'16","UKJ 2MB@1.07 OU 0.80 EUR 24MTH KOEK"
"'8944502010148202503","'447509148250","2018-05-01 09:06:00","2018-05-01 09:06:40","1024","'234","'15","UKJ 2MB@1.00 OU 0.50 GBP"
"'8944502010148289567","'447509156956","2018-05-01 09:06:00","2018-05-01 09:06:07","1024","'334","'03","UKJ 2MB@1.60 OU 0.80 USD STG"
"'8944501702168738512","'882360001276694","2018-05-01 09:06:00","2018-05-01 09:11:53","27648","'262","'03","UKJ 100MB@8.39 OU 0.10 EUR"
"'8944501108169049323","'882360000424932","2018-05-01 09:06:00","2018-05-01 09:08:57","2048","'310","'260","UKJ 6MB@2.25 OU 0.65 USD GEO"
"'8944500510178261685","'882360002716923","2018-05-01 09:06:00","2018-05-01 09:06:40","4096","'234","'15","UKJ 8MB@1.10 OU 0.10 GBP REM Trading VODA"
"'8944502010148233698","'447509151369","2018-05-01 09:06:00","2018-05-01 09:15:37","15360","'310","'410","UKJ 6MB@2.25 OU 0.65 USD GEO"
"'8944502511169540127","'882360001635512","2018-05-01 09:06:00","2018-05-01 09:36:00","1024","'240","'42","UKJ BES5 LR@14 USD PER MB"
"'8944501201168608817","'447937720724","2018-05-01 09:06:01","2018-05-01 09:07:16","1024","'234","'10","UKJ 10MB@2.10 OU 0.50 GBP RT"
"'8944200007314025556","'447414407556","2018-05-01 09:06:01","2018-05-01 09:06:01","953344","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944503005179875929","'882360002504302","2018-05-01 09:06:01","2018-05-01 09:06:06","1024","'214","'01","UKJ 5MB@1.20 OU 0.30 EUR YUGO"
"'89011703278160619576","'882350816061957","2018-05-01 09:06:02","2018-05-01 09:06:23","2099200","'310","'410","UKAT 300MB@6.75 OU 0.10 USD Biz Z1"
"'8944501702168872105","'882360001290053","2018-05-01 09:06:02","2018-05-01 09:06:27","1024","'310","'260","UKJ 10MB@2.79 OU 0.80 USD C Tracking"
"'8944502511169676418","'882360001649141","2018-05-01 09:06:02","2018-05-01 09:11:28","7168","'310","'410","UKJ 5MB@2.38 OU 0.80 USD"
"'8944503005179822111","'882360002498921","2018-05-01 09:06:02","2018-05-01 09:06:32","1024","'234","'30","UKJ 5MB@1.30 OU 0.50 GBP REM"
"'8944500510178341727","'882360002724927","2018-05-01 09:06:02","2018-05-01 09:20:49","1024","'310","'410","UKJ 1MB@0.90 OU 0.80 USD AnyTr Z2B"
"'8944502810151746548","'882360001100114","2018-05-01 09:06:02","2018-05-01 09:36:02","1024","'302","'720","UKJ BES5 LR@14 USD PER MB"
"'8944503005179875952","'882360002504305","2018-05-01 09:06:03","2018-05-01 09:06:06","1024","'214","'03","UKJ 5MB@1.20 OU 0.30 EUR YUGO"
"'8944501108169001662","'882360000420166","2018-05-01 09:06:03","2018-05-01 09:06:18","1024","'310","'410","UKJ 3MB@0.99 OU 0.80 USD ATrck"
"'8944502010148258299","'447509153829","2018-05-01 09:06:03","2018-05-01 09:10:55","3072","'310","'410","UKJ 8MB@1.00 OU 0.15 USD SK Temporary"
"'8944501702168881346","'882360001290977","2018-05-01 09:06:03","2018-05-01 09:24:53","2048","'334","'03","UKJ 4MB@3.19 OU 0.65 USD CTTMX"
"'8944502511169574951","'882360001638995","2018-05-01 09:06:03","2018-05-01 09:06:10","1024","'310","'260","UKJ 5MB@1.99 OU 0.80 USD Teknos"
"'8944200103299024068","'447453053950","2018-05-01 09:06:03","2018-05-01 09:06:03","1289216","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944501410158442257","'447937584068","2018-05-01 09:06:03","2018-05-01 09:16:08","1024","'234","'30","UKJ 3MB@1.17 OU 0.30 GBP Fowlers Finance"
"'8944503005179803335","'882360002497043","2018-05-01 09:06:03","2018-05-01 09:25:45","1024","'220","'01","UKJ 5MB@0.80 OU 0.10 EUR Almaks"
"'8944500510178315655","'882360002722320","2018-05-01 09:06:04","2018-05-01 09:06:19","1024","'311","'480","UKJ 10MB@1.69 OU 0.10 USD Cartrack"
"'8944502105138018909","'447937806890","2018-05-01 09:06:04","2018-05-01 09:06:51","1024","'234","'15","UKJ 2MB@1.00 OU 0.50 GBP"
"'8944500410169073183","'882360001435818","2018-05-01 09:06:04","2018-05-01 09:07:40","1024","'222","'88","UKJ 10MB@1.35 OU 0.30 EUR SS"
"'8944501410158465514","'447937586394","2018-05-01 09:06:04","2018-05-01 09:14:55","1024","'204","'04","UKJ 2MB@1.07 OU 0.80 EUR 24MTH KOEK"
"'8944502010148259065","'447509153906","2018-05-01 09:06:04","2018-05-01 09:10:57","3072","'310","'410","UKJ 8MB@1.00 OU 0.15 USD SK Temporary"
"'8944501007158390831","'882360000059576","2018-05-01 09:06:04","2018-05-01 09:26:10","9216","'204","'08","UKJ 0MB@0.30 OU 0.11 GBP"
"'8944502810151721467","'882360001097606","2018-05-01 09:06:04","2018-05-01 09:36:04","1024","'302","'220","UKJ BES5 LR@14 USD PER MB"
"'8944502712138198423","'447937839842","2018-05-01 09:06:04","2018-05-01 09:12:00","4096","'310","'260","UKJ 10MB@2.45 OU 0.40 USD FGPS Z1"
"'8944500510178318097","'882360002722564","2018-05-01 09:06:04","2018-05-01 09:06:40","1024","'311","'480","UKJ 10MB@1.69 OU 0.10 USD Cartrack"
"'8944502511169563632","'882360001637863","2018-05-01 09:06:04","2018-05-01 09:12:32","2048","'310","'260","UKJ 3MB@1.50 OU 0.60 USD"
"'8944502511169342979","'882360001615797","2018-05-01 09:06:04","2018-05-01 09:31:15","11264","'234","'30","UKJ 5MB@1.30 OU 0.50 GBP REM"
"'8944503005179763687","'882360002493078","2018-05-01 09:06:04","2018-05-01 09:22:04","2048","'310","'260","UKJ 1MB@0.90 OU 0.80 USD AnyTr Z2B"
"'8944200007278048974","'447414314898","2018-05-01 09:06:05","2018-05-01 09:06:05","3072","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944501410158438016","'447937583644","2018-05-01 09:06:05","2018-05-01 09:07:20","1024","'310","'410","UKJ 6MB@2.25 OU 0.65 USD GEO"
"'8944501410158442745","'447937584117","2018-05-01 09:06:05","2018-05-01 09:16:11","1024","'234","'10","UKJ 3MB@1.17 OU 0.30 GBP Fowlers Finance"
"'8944500510178222398","'882360002712994","2018-05-01 09:06:05","2018-05-01 09:06:10","1024","'706","'01","UKJ 5MB@2.10 OU 0.45 USD GPSTech Z2A"
"'89011703278161153823","'882350816115382","2018-05-01 09:06:05","2018-05-01 09:06:32","4096","'302","'610","UKAT 100MB@5.50 OU 0.20 USD TFS Z1"
"'8944503005178018729","'882360002164052","2018-05-01 09:06:05","2018-05-01 09:11:52","4096","'310","'260","UKJ 3MB@0.99 OU 0.80 USD ATrck"
"'8944502511169269453","'882360001608445","2018-05-01 09:06:05","2018-05-01 09:10:04","1024","'302","'720","UKJ 1MB@1.35 OU 0.65 USD PGE Z2"
"'8944500510178421388","'882360002732893","2018-05-01 09:06:05","2018-05-01 09:26:13","2048","'310","'410","UKJ 10MB@2.40 OU 0.20 USD Vxceed"
"'8944503005179836582","'447509727288","2018-05-01 09:06:05","2018-05-01 09:14:58","1024","'234","'15","UKJ 1MB@0.79 OU 1.00 GBP"
"'8944500410169178370","'882360001446337","2018-05-01 09:06:05","2018-05-01 09:23:01","14336","'234","'10","UKJ 8MB@1.10 OU 0.10 GBP REM-T O2"
"'8944502511169284635","'882360001609963","2018-05-01 09:06:06","2018-05-01 09:07:50","1024","'655","'01","UKJ 4MB@1.62 OU 0.60 USD TAGM zone 1B"
"'8944502511169520608","'882360001633560","2018-05-01 09:06:06","2018-05-01 09:06:09","1024","'214","'01","UKJ 5MB@1.20 OU 0.30 EUR YUGO"
"'8944502511169465283","'882360001628028","2018-05-01 09:06:06","2018-05-01 09:06:11","1024","'214","'01","UKJ 5MB@1.20 OU 0.30 EUR YUGO"
"'8944500510178328260","'882360002723581","2018-05-01 09:06:06","2018-05-01 09:07:22","1024","'302","'720","UKJ 1MB@1.35 OU 0.65 USD PGE Z2"
"'8944200103299006768","'447453032587","2018-05-01 09:06:07","2018-05-01 09:06:07","58368","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944502511169523289","'882360001633828","2018-05-01 09:06:07","2018-05-01 09:06:09","1024","'214","'01","UKJ 5MB@1.20 OU 0.30 EUR YUGO"
"'8944502010148259321","'447509153932","2018-05-01 09:06:07","2018-05-01 09:07:46","1024","'310","'410","UKJ 8MB@1.00 OU 0.15 USD SK Temporary"
"'8944500510178286443","'447937726183","2018-05-01 09:06:07","2018-05-01 09:15:45","1024","'234","'30","UKJ 1MB@0.79 OU 1.00 GBP"
"'8944501410158447413","'447937584584","2018-05-01 09:06:07","2018-05-01 09:16:11","1024","'234","'15","UKJ 3MB@1.17 OU 0.30 GBP Fowlers Finance"
"'8944500510178240358","'882360002714790","2018-05-01 09:06:07","2018-05-01 09:06:40","2048","'222","'10","UKJ 15MB@2.00 OU 0.20 EUR IC Z3"
"'8944501410158464301","'447937586273","2018-05-01 09:06:07","2018-05-01 09:07:05","1024","'204","'08","UKJ 2MB@1.07 OU 0.80 EUR 24MTH KOEK"
"'8944501702168880355","'882360001290878","2018-05-01 09:06:07","2018-05-01 09:07:34","1024","'334","'020","UKJ 4MB@3.19 OU 0.65 USD CTTMX"
"'8944502511169229077","'882360001604407","2018-05-01 09:06:07","2018-05-01 09:07:58","1024","'310","'260","UKJ 4MB@1.62 OU 0.60 USD TAGM zone 1B"
"'8944501007158392092","'882360000059702","2018-05-01 09:06:07","2018-05-01 09:39:54","8192","'204","'08","UKJ 0MB@0.30 OU 0.11 GBP"
"'8944200103299004375","'447449350045","2018-05-01 09:06:08","2018-05-01 09:06:08","1459200","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944200007278015395","'447414311540","2018-05-01 09:06:08","2018-05-01 09:06:08","377856","'234","'20","UKX 100MB@1.72 OU 0.10 GBP"
"'8944500510178315119","'882360002722266","2018-05-01 09:06:08","2018-05-01 09:06:18","1024","'310","'410","UKJ 10MB@1.69 OU 0.10 USD Cartrack"
"'8944503005179751666","'11836158362","2018-05-01 09:06:08","2018-05-01 09:08:12","1024","'736","'03","UKA 2MB@2.89 OU 0.80 USD Satelicar"
"'89011703278161154367","'882350816115436","2018-05-01 09:06:08","2018-05-01 09:06:31","4096","'302","'610","UKAT 100MB@5.50 OU 0.20 USD TFS Z1"
"'8944501702168698989","'882360001274741","2018-05-01 09:06:08","2018-05-01 09:07:58","1024","'310","'260","UKJ 4MB@1.62 OU 0.60 USD TAGM zone 1B"
"'8944501410158459525","'447937585795","2018-05-01 09:06:09","2018-05-01 09:06:55","1024","'204","'04","UKJ 2MB@1.18 OU 0.80 EUR 12MTH KOEK"
"'8944501410158447058","'447937584548","2018-05-01 09:06:09","2018-05-01 09:10:10","1024","'234","'10","UKJ 3MB@1.17 OU 0.30 GBP Fowlers Finance"
"'8944501410158446928","'447937584535","2018-05-01 09:06:09","2018-05-01 09:16:14","1024","'234","'30","UKJ 3MB@1.17 OU 0.30 GBP Fowlers Finance"
"'8944500510178341040","'882360002724859","2018-05-01 09:06:09","2018-05-01 09:50:45","1024","'310","'410","UKJ 1MB@0.90 OU 0.80 USD AnyTr Z2B"
"'8944502511169520426","'882360001633542","2018-05-01 09:06:09","2018-05-01 09:06:11","1024","'214","'03","UKJ 5MB@1.20 OU 0.30 EUR YUGO"
"'8944502010148203956","'447509148395","2018-05-01 09:06:09","2018-05-01 09:07:00","1024","'222","'10","UKJ 10MB@1.76 OU 0.30 EUR IM Italy"
"'8901260882217685079","'14422643263","2018-05-01 09:06:09","2018-05-01 09:11:18","1024","'310","'260","UKTM 10MB@2.25 10 SMS OU 0.20 USD FGPS"
"'8944501410158443073","'447937584150","2018-05-01 09:06:09","2018-05-01 09:16:13","1024","'234","'30","UKJ 3MB@1.17 OU 0.30 GBP Fowlers Finance"
"'8944502010148267217","'447509154721","2018-05-01 09:06:09","2018-05-01 09:31:46","15360","'310","'410","UKJ 8MB@1.00 OU 0.15 USD SK Temporary"
"'8944500606138142559","'447937879255","2018-05-01 09:06:10","2018-05-01 09:06:18","1024","'310","'260","UKJ 15MB@3.91 OU .65 USD"
